tache,index,prefix,ids,textes
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_2707 HDPAR-HD_rs_2708,"Guillelmus de Vere Magno, miles . || Guillelmus de Vere Magno, miles ."
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_2713 HDPAR-HD_rs_2714,Guillelmus de Viriaco . || Guillelmus de Viriaco .
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_2758 HDPAR-HD_rs_2759,Guillelmus Scotus . || Guillelmus Scotus .
3,PERSONNES,SAPC-AB,SAPC-AB_rs_0424 SAPC-AB_rs_0425 SAPC-AB_rs_0426,"Gila: Saint-Antoine-des-Champs, acte 214; v. Adam de Mota, maritus ejus. || Gila: Saint-Antoine-des-Champs, acte 93; v. Focaudus de Bri, maritus ejus. || Gila: Saint-Antoine-des-Champs, acte 311, Saint-Antoine-des-Champs, acte 312; v. Simon de Gleseria, maritus ejus."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_1679 SMPA-AB-03_rs_1680,"Gormont (Guillaume), sellier, Saint-Magloire, tome III, acte 47. || Gormont (Guillaume), prévôt de Paris, Saint-Magloire, tome III, acte 34, Saint-Magloire, tome III, acte 45, Saint-Magloire, tome III, acte 47, Saint-M"
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_1785 SMPA-AB-03_rs_1786,"Guillaume, curé d’Hermeray, Guillelmus, Saint-Magloire, tome III, acte 102. || Guillaume (maître Oudard), notaire au Châtelet, Oudart Guillaume, Saint-Magloire, tome III, acte 109, note 1, Saint-Magloire, tome III, acte 126, n. d"
3,PERSONNES,NDVC-AB,NDVC-AB_rs_2049 NDVC-AB_rs_2106,"Guillelmus, p., Vaux-de-Cernay, acte 82. || Guillelmus, t.ii, p., Vaux-de-Cernay, acte 27."
3,PERSONNES,SAPC-AB,SAPC-AB_rs_0467 SAPC-AB_rs_0468 SAPC-AB_rs_0469,"Guillelmus: Saint-Antoine-des-Champs, acte 331, Saint-Antoine-des-Champs, acte 311, Saint-Antoine-des-Champs, acte 305; v.v. Guillelmus de Gleseria, p || Guillelmus: Saint-Antoine-des-Champs, acte 274; v.v. Simon de Venabulis, pater ejus. || Guillelmus: Saint-Antoine-des-Champs, acte 92; v. Stephanus Beroudus, pater ejus, Ada, mater ejus, Petrus et Stephanus, fratres ejus."
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_2796 HDPAR-HD_rs_2797,"Hamericus, archidiaconus in ecclesia Parisiensi . || Hamericus, archidiaconus in ecclesia Parisiensi ."
3,PERSONNES,SMPO-AB,SMPO-AB_rs_0844 SMPO-AB_rs_0845,Henri Deliés . || Henri Deliés .
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_2929 HDPAR-HD_rs_2930,Henricus de Sancto Marcello . || Henricus de Sancto Marcello .
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_3071 HDPAR-HD_rs_3072,Hubertus de Castelleto . || Hubertus de Castelleto .
3,PERSONNES,SAPC-AB,SAPC-AB_rs_0578 SAPC-AB_rs_0580,"Isabelle: Saint-Antoine-des-Champs, acte 176; v. Guillelmus de Ulmeia, maritus ejus. || Isabelle: Saint-Antoine-des-Champs, acte 332; v. Alardus, maritus ejus."
3,PERSONNES,SAPC-AB,SAPC-AB_rs_0581 SAPC-AB_rs_0582 SAPC-AB_rs_0583,"Isabellis: Saint-Antoine-des-Champs, acte 113, Saint-Antoine-des-Champs, acte 140, Saint-Antoine-des-Champs, acte 306, Saint-Antoine-des-Champs, acte  || Isabellis: Saint-Antoine-des-Champs, acte 332; v. Milo de Jahenneyo, maritus ejus. || Isabellis: Saint-Antoine-des-Champs, acte 140; v. Renaudus de Vallibus, pater ejus, Guillermus de Septem Fontibus, maritus ejus."
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_3233 HDPAR-HD_rs_3234,"Jacobus Boucelli . || Jacobus Boucelli, C 479."
3,PERSONNES,SAPC-AB,SAPC-AB_rs_0593 SAPC-AB_rs_0594,"Jaquelina: Saint-Antoine-des-Champs, acte 293; v. Radulphus Arcuarius, maritus ejus. || Jaquelina: Saint-Antoine-des-Champs, acte 96, Saint-Antoine-des-Champs, acte 162; v.v. Radulphus de Nemore, maritus ejusGuido, filius eorum."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_1964 SMPA-AB-03_rs_1965,"Jean, seigneur de Versailles, Saint-Magloire, tome III, acte 310 ; — Gilon, son fils . || Jean, abbé d’Ivry, Saint-Magloire, tome III, acte 71."
