index,prefix,identite,ids,textes
PERSONNES,NDVC-AB,"sarnaio, (odo de), p., vaux-de-cernay",NDVC-AB_rs_4129 NDVC-AB_rs_4130,"Sarnaio, (Odo de), p., Vaux-de-Cernay, acte 37. || Sarnaio, (Odo de), p., Vaux-de-Cernay, acte 206 ; t.ii, p. Vaux-de-Cernay, acte 24."
PERSONNES,NDVC-AB,"soisiaco, (guido de), p., vaux-de-cernay",NDVC-AB_rs_4222 NDVC-AB_rs_4223,"Soisiaco, (Guido de), p., Vaux-de-Cernay, acte 29. || Soisiaco, (Guido de), p., Vaux-de-Cernay, acte 393."
PERSONNES,SMPA-EG,temple,SMPA-EG_rs_2170 SMPA-EG_rs_2169,"Temple. || Temple, Saint-Merry de Paris, acte 9 ."
PERSONNES,SMPA-AB-02,"thibaut, curé de",SMPA-AB-02_rs_3126 SMPA-AB-02_rs_3127,"Thibaut, curé de Saint-Julien de Versailles, Theobaldus, Saint-Magloire, tome II, acte 372, Saint-Magloire, tome II, acte 383 . || Thibaut, curé de Saint-Laurent, Saint-Magloire, tome II, acte 334."
PERSONNES,SMPO-AB,thierry de montmorency,SMPO-AB_rs_1549 SMPO-AB_rs_1550,Thierry de Montmorency . || Thierry de Montmorency .
PERSONNES,HDPAR-HD,vere magno (gaufridus de,HDPAR-HD_rs_6920 HDPAR-HD_rs_6921 HDPAR-HD_rs_6922,Vere Magno (Gaufridus de) . || Vere Magno (Gaufridus de) . || Vere Magno (Gaufridus de) .
PERSONNES,HDPAR-HD,"vere magno (guillelmus de), miles",HDPAR-HD_rs_6924 HDPAR-HD_rs_6925,"Vere Magno (Guillelmus de), miles . || Vere Magno (Guillelmus de), miles ."
PERSONNES,HDPAR-HD,"vere magno (odo de), miles",HDPAR-HD_rs_6928 HDPAR-HD_rs_6929,"Vere Magno (Odo de), miles . || Vere Magno (Odo de), miles ."
PERSONNES,SMPA-AB-01,vernouillet église,SMPA-AB-01_rs_2533_2 SMPA-AB-01_rs_2533_3,"Vernouillet église Saint-Étienne , Saint-Magloire, tome I, acte 248 || Vernouillet église Saint-Étienne, et chapelle Saint-Hilaire, Saint-Magloire, tome I, acte 1, Saint-Magloire, tome I, acte 3, Saint-Magloire,"
PERSONNES,SMPA-AB-01,versailles four,SMPA-AB-01_rs_2536_5 SMPA-AB-01_rs_2537_3,"Versailles four, Saint-Magloire, tome I, acte 51 || Versailles four, Saint-Magloire, tome I, acte 159"
PERSONNES,HDPAR-HD,villa nova (andreas de,HDPAR-HD_rs_7002 HDPAR-HD_rs_7003,Villa Nova (Andreas de) . || Villa Nova (Andreas de) .
PERSONNES,HDPAR-HD,viriaco (guillelmus de,HDPAR-HD_rs_7062 HDPAR-HD_rs_7063,Viriaco (Guillelmus de) . || Viriaco (Guillelmus de) .
LIEUX,SMPA-AB-03,faubourg,SMPA-AB-03_rs_1380 SMPA-AB-03_rs_1381,"Faubourg Saint-Denis (rue du), Paris, 10e arr., Saint-Magloire, tome III, acte 180, note 1. || Faubourg Saint-Martin (rue du), Paris, 10e arr., Saint-Magloire, tome III, acte 180, note 1."
LIEUX,SMPA-EG,grande rue,SMPA-EG_rs_0709 SMPA-EG_rs_0710,Grande Rue Saint-Denis . || Grande Rue Saint-Merry .
LIEUX,SMPA-AB-03,image,SMPA-AB-03_rs_1919 SMPA-AB-03_rs_1923 SMPA-AB-03_rs_1925,"Image Saint-Jacques (maison de l’), rue de la Ferronnerie, Saint-Magloire, tome III, acte 16, note 4. || Image Saint-Michel (maison de l’), rue Saint-Martin, Saint-Magloire, tome III, acte 262, note 2. || Image Saint-Nicolas (maison de l’), des Trois Rois, puis du Vase d’or, rue Saint-Denis, Image Sainct Nicolas, Ymage St Nicolas près St Leu, "
LIEUX,SMPA-AB-03,"issy, seigneurie de",SMPA-AB-03_rs_1938 SMPA-AB-03_rs_1939,"Issy, seigneurie de Saint-Magloire, Saint-Magloire, tome III, acte 1, Saint-Magloire, tome III, acte 31, Saint-Magloire, tome III, acte 13,  || Issy, seigneurie de Saint-Germain-des-Prés. Saint-Magloire, tome III, acte 1, Saint-Magloire, tome III, acte 10, Saint-Magloire, tome III, a"
LIEUX,SMPA-AB-03,mont-,SMPA-AB-03_rs_2457 SMPA-AB-03_rs_2457_1,"Mont-Saint-Hilaire (rue du), absorbée par la rue de Lanneau, Paris, 5e arr. || Mont-Saint-Hilaire collège de Linköping, Saint-Magloire, tome III, acte 153, note 1."
